data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20200204,1795134.0,586170.0,59382854.0,2020-2-5 6:43
20200205,1787270.0,581284.0,59621476.0,2020-2-6 6:43
20200206,1799330.0,583636.0,59860692.0,2020-2-7 6:44
20200207,1817838.0,575384.0,60116176.0,2020-2-8 6:43
20200208,1765505.0,550660.0,60325026.0,2020-2-9 6:44
20200209,1825989.0,580914.0,60563670.0,2020-2-10 6:45
20200210,1875085.0,596428.0,60844640.0,2020-2-11 6:44
20200211,1988672.0,617750.0,61185714.0,2020-2-12 6:41
20200212,2005046.0,612790.0,61566312.0,2020-2-13 6:44
20200213,2045062.0,421094.0,61987490.0,2020-2-14 6:44
20200214,2100950.0,431130.0,62386646.0,2020-2-15 6:44
20200215,2103576.0,434610.0,62766980.0,2020-2-16 6:51
20200216,2082586.0,412260.0,63135928.0,2020-2-17 6:45
20200217,2278197.0,429856.0,63605158.0,2020-2-18 6:45
20200218,2338224.0,431542.0,64112404.0,2020-2-19 6:41
20200219,2522561.0,450058.0,64698164.0,2020-2-20 6:44
20200220,2719530.0,465102.0,65410998.0,2020-2-21 6:44
20200221,2785084.0,462820.0,66166452.0,2020-2-22 6:46
20200222,2774374.0,445782.0,66814484.0,2020-2-23 6:50
20200223,2803198.0,436658.0,67413700.0,2020-2-24 6:48
20200224,2997385.0,471162.0,68021832.0,2020-2-25 6:46
20200225,3142369.0,894662.0,68719156.0,2020-2-26 6:47
20200226,3199523.0,935328.0,69447092.0,2020-2-27 6:46
20200227,3291702.0,973734.0,70173808.0,2020-2-28 6:52
20200228,3392831.0,997604.0,70985396.0,2020-2-29 6:47
20200229,3352902.0,954372.0,71712312.0,2020-3-1 6:51
20200301,3385862.0,914278.0,72377712.0,2020-3-2 6:49
20200302,3711518.0,1030566.0,73121620.0,2020-3-3 6:48
20200303,3801244.0,1039400.0,73819184.0,2020-3-4 6:54
20200304,3693773.0,1195104.0,74762818.0,2020-3-5 7:02
20200305,3995631.0,1270256.0,75822882.0,2020-3-6 7:14
20200306,4104184.0,1316524.0,76932852.0,2020-3-7 6:50
20200307,4103198.0,1202130.0,77918034.0,2020-3-8 6:47
20200308,4006267.0,1124716.0,78781784.0,2020-3-9 6:54
20200309,4416619.0,1312702.0,79868140.0,2020-3-10 6:51
20200310,4577820.0,800948.0,81097972.0,2020-3-11 6:45
20200311,4580044.0,24.0,82318052.0,2020-3-12 6:45
20200312,4722423.0,88.0,83614554.0,2020-3-13 6:42
20200313,4143112.0,386960.0,84843444.0,2020-3-14 6:46
